No,Player,DOB,Age,Date,Exercise,Volume,Year
3,Danny Rose,1990-07-02,28,2018-03-05,Horizontal Seated Leg Press,20,2018
3,Danny Rose,1990-07-02,28,2018-03-06,Horizontal Seated Leg Press,18,2018
3,Danny Rose,1990-07-02,28,2018-03-07,Horizontal Seated Leg Press,8,2018
3,Danny Rose,1990-07-02,28,2018-03-08,Horizontal Seated Leg Press,7,2018
3,Danny Rose,1990-07-02,28,2018-03-09,Horizontal Seated Leg Press,13,2018
3,Danny Rose,1990-07-02,28,2018-03-10,Horizontal Seated Leg Press,11,2018
3,Danny Rose,1990-07-02,28,2018-03-11,Horizontal Seated Leg Press,2,2018
3,Danny Rose,1990-07-02,28,2018-03-12,Horizontal Seated Leg Press,0,2018
3,Danny Rose,1990-07-02,28,2018-03-13,Horizontal Seated Leg Press,5,2018
3,Danny Rose,1990-07-02,28,2018-03-14,Horizontal Seated Leg Press,6,2018
3,Danny Rose,1990-07-02,28,2018-03-15,Horizontal Seated Leg Press,NA,2018
3,Danny Rose,1990-07-02,28,2018-03-16,Horizontal Seated Leg Press,2,2018
3,Danny Rose,1990-07-02,28,2018-03-17,Horizontal Seated Leg Press,3,2018
3,Danny Rose,1990-07-02,28,2018-03-18,Horizontal Seated Leg Press,2,2018
3,Danny Rose,1990-07-02,28,2018-03-19,Horizontal Seated Leg Press,18,2018
3,Danny Rose,1990-07-02,28,2018-03-20,Horizontal Seated Leg Press,16,2018
3,Danny Rose,1990-07-02,28,2018-03-21,Horizontal Seated Leg Press,10,2018
3,Danny Rose,1990-07-02,28,2018-03-22,Horizontal Seated Leg Press,10,2018
3,Danny Rose,1990-07-02,28,2018-03-23,Horizontal Seated Leg Press,NA,2018
3,Danny Rose,1990-07-02,28,2018-03-24,Horizontal Seated Leg Press,19,2018
3,Danny Rose,1990-07-02,28,2018-03-25,Horizontal Seated Leg Press,1,2018
3,Danny Rose,1990-07-02,28,2018-03-26,Horizontal Seated Leg Press,14,2018
3,Danny Rose,1990-07-02,28,2018-03-27,Horizontal Seated Leg Press,12,2018
3,Danny Rose,1990-07-02,28,2018-03-28,Horizontal Seated Leg Press,12,2018
4,Kyle Walker,1990-05-28,28,2018-03-01,Horizontal Seated Leg Press,8,2018
4,Kyle Walker,1990-05-28,28,2018-03-02,Horizontal Seated Leg Press,3,2018
4,Kyle Walker,1990-05-28,28,2018-03-03,Horizontal Seated Leg Press,20,2018
4,Kyle Walker,1990-05-28,28,2018-03-04,Horizontal Seated Leg Press,17,2018
4,Kyle Walker,1990-05-28,28,2018-03-05,Horizontal Seated Leg Press,NA,2018
4,Kyle Walker,1990-05-28,28,2018-03-06,Horizontal Seated Leg Press,20,2018
4,Kyle Walker,1990-05-28,28,2018-03-07,Horizontal Seated Leg Press,17,2018
4,Kyle Walker,1990-05-28,28,2018-03-08,Horizontal Seated Leg Press,8,2018
4,Kyle Walker,1990-05-28,28,2018-03-09,Horizontal Seated Leg Press,1,2018
4,Kyle Walker,1990-05-28,28,2018-03-10,Horizontal Seated Leg Press,7,2018
4,Kyle Walker,1990-05-28,28,2018-03-11,Horizontal Seated Leg Press,19,2018
4,Kyle Walker,1990-05-28,28,2018-03-12,Horizontal Seated Leg Press,0,2018
4,Kyle Walker,1990-05-28,28,2018-03-13,Horizontal Seated Leg Press,NA,2018
4,Kyle Walker,1990-05-28,28,2018-03-14,Horizontal Seated Leg Press,16,2018
4,Kyle Walker,1990-05-28,28,2018-03-15,Horizontal Seated Leg Press,18,2018
4,Kyle Walker,1990-05-28,28,2018-03-16,Horizontal Seated Leg Press,0,2018
4,Kyle Walker,1990-05-28,28,2018-03-17,Horizontal Seated Leg Press,18,2018
4,Kyle Walker,1990-05-28,28,2018-03-18,Horizontal Seated Leg Press,15,2018
4,Kyle Walker,1990-05-28,28,2018-03-19,Horizontal Seated Leg Press,NA,2018
4,Kyle Walker,1990-05-28,28,2018-03-20,Horizontal Seated Leg Press,NA,2018
4,Kyle Walker,1990-05-28,28,2018-03-21,Horizontal Seated Leg Press,13,2018
4,Kyle Walker,1990-05-28,28,2018-03-22,Horizontal Seated Leg Press,13,2018
4,Kyle Walker,1990-05-28,28,2018-03-23,Horizontal Seated Leg Press,7,2018
4,Kyle Walker,1990-05-28,28,2018-03-24,Horizontal Seated Leg Press,3,2018
4,Kyle Walker,1990-05-28,28,2018-03-25,Horizontal Seated Leg Press,14,2018
4,Kyle Walker,1990-05-28,28,2018-03-26,Horizontal Seated Leg Press,17,2018
4,Kyle Walker,1990-05-28,28,2018-03-27,Horizontal Seated Leg Press,8,2018
4,Kyle Walker,1990-05-28,28,2018-03-28,Horizontal Seated Leg Press,11,2018
5,James Tarkowski,1992-11-19,25,2018-03-01,Horizontal Seated Leg Press,2,2018
5,James Tarkowski,1992-11-19,25,2018-03-02,Horizontal Seated Leg Press,5,2018
5,James Tarkowski,1992-11-19,25,2018-03-03,Horizontal Seated Leg Press,5,2018
5,James Tarkowski,1992-11-19,25,2018-03-04,Horizontal Seated Leg Press,4,2018
5,James Tarkowski,1992-11-19,25,2018-03-05,Horizontal Seated Leg Press,12,2018
5,James Tarkowski,1992-11-19,25,2018-03-06,Horizontal Seated Leg Press,13,2018
5,James Tarkowski,1992-11-19,25,2018-03-07,Horizontal Seated Leg Press,NA,2018
5,James Tarkowski,1992-11-19,25,2018-03-08,Horizontal Seated Leg Press,20,2018
5,James Tarkowski,1992-11-19,25,2018-03-09,Horizontal Seated Leg Press,7,2018
5,James Tarkowski,1992-11-19,25,2018-03-10,Horizontal Seated Leg Press,5,2018
5,James Tarkowski,1992-11-19,25,2018-03-11,Horizontal Seated Leg Press,NA,2018
5,James Tarkowski,1992-11-19,25,2018-03-12,Horizontal Seated Leg Press,20,2018
5,James Tarkowski,1992-11-19,25,2018-03-13,Horizontal Seated Leg Press,17,2018
5,James Tarkowski,1992-11-19,25,2018-03-14,Horizontal Seated Leg Press,19,2018
5,James Tarkowski,1992-11-19,25,2018-03-15,Horizontal Seated Leg Press,20,2018
5,James Tarkowski,1992-11-19,25,2018-03-16,Horizontal Seated Leg Press,19,2018
5,James Tarkowski,1992-11-19,25,2018-03-17,Horizontal Seated Leg Press,7,2018
5,James Tarkowski,1992-11-19,25,2018-03-18,Horizontal Seated Leg Press,10,2018
5,James Tarkowski,1992-11-19,25,2018-03-19,Horizontal Seated Leg Press,4,2018
5,James Tarkowski,1992-11-19,25,2018-03-20,Horizontal Seated Leg Press,12,2018
5,James Tarkowski,1992-11-19,25,2018-03-21,Horizontal Seated Leg Press,NA,2018
5,James Tarkowski,1992-11-19,25,2018-03-22,Horizontal Seated Leg Press,2,2018
5,James Tarkowski,1992-11-19,25,2018-03-23,Horizontal Seated Leg Press,5,2018
5,James Tarkowski,1992-11-19,25,2018-03-24,Horizontal Seated Leg Press,14,2018
5,James Tarkowski,1992-11-19,25,2018-03-25,Horizontal Seated Leg Press,NA,2018
5,James Tarkowski,1992-11-19,25,2018-03-26,Horizontal Seated Leg Press,14,2018
5,James Tarkowski,1992-11-19,25,2018-03-27,Horizontal Seated Leg Press,1,2018
5,James Tarkowski,1992-11-19,25,2018-03-28,Horizontal Seated Leg Press,12,2018
6,Harry Maguire,1993-03-05,25,2018-03-01,Horizontal Seated Leg Press,3,2018
6,Harry Maguire,1993-03-05,25,2018-03-02,Horizontal Seated Leg Press,0,2018
6,Harry Maguire,1993-03-05,25,2018-03-03,Horizontal Seated Leg Press,NA,2018
6,Harry Maguire,1993-03-05,25,2018-03-04,Horizontal Seated Leg Press,NA,2018
6,Harry Maguire,1993-03-05,25,2018-03-05,Horizontal Seated Leg Press,9,2018
6,Harry Maguire,1993-03-05,25,2018-03-06,Horizontal Seated Leg Press,8,2018
6,Harry Maguire,1993-03-05,25,2018-03-07,Horizontal Seated Leg Press,13,2018
6,Harry Maguire,1993-03-05,25,2018-03-08,Horizontal Seated Leg Press,11,2018
6,Harry Maguire,1993-03-05,25,2018-03-09,Horizontal Seated Leg Press,NA,2018
6,Harry Maguire,1993-03-05,25,2018-03-10,Horizontal Seated Leg Press,11,2018
6,Harry Maguire,1993-03-05,25,2018-03-11,Horizontal Seated Leg Press,20,2018
6,Harry Maguire,1993-03-05,25,2018-03-12,Horizontal Seated Leg Press,7,2018
6,Harry Maguire,1993-03-05,25,2018-03-13,Horizontal Seated Leg Press,5,2018
6,Harry Maguire,1993-03-05,25,2018-03-14,Horizontal Seated Leg Press,2,2018
6,Harry Maguire,1993-03-05,25,2018-03-15,Horizontal Seated Leg Press,NA,2018
6,Harry Maguire,1993-03-05,25,2018-03-16,Horizontal Seated Leg Press,15,2018
6,Harry Maguire,1993-03-05,25,2018-03-17,Horizontal Seated Leg Press,16,2018
6,Harry Maguire,1993-03-05,25,2018-03-18,Horizontal Seated Leg Press,4,2018
6,Harry Maguire,1993-03-05,25,2018-03-19,Horizontal Seated Leg Press,4,2018
6,Harry Maguire,1993-03-05,25,2018-03-20,Horizontal Seated Leg Press,20,2018
6,Harry Maguire,1993-03-05,25,2018-03-21,Horizontal Seated Leg Press,19,2018
6,Harry Maguire,1993-03-05,25,2018-03-22,Horizontal Seated Leg Press,11,2018
6,Harry Maguire,1993-03-05,25,2018-03-23,Horizontal Seated Leg Press,NA,2018
6,Harry Maguire,1993-03-05,25,2018-03-24,Horizontal Seated Leg Press,9,2018
6,Harry Maguire,1993-03-05,25,2018-03-25,Horizontal Seated Leg Press,11,2018
6,Harry Maguire,1993-03-05,25,2018-03-26,Horizontal Seated Leg Press,2,2018
6,Harry Maguire,1993-03-05,25,2018-03-27,Horizontal Seated Leg Press,NA,2018
6,Harry Maguire,1993-03-05,25,2018-03-28,Horizontal Seated Leg Press,12,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-01,Horizontal Seated Leg Press,15,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-02,Horizontal Seated Leg Press,5,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-03,Horizontal Seated Leg Press,13,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-04,Horizontal Seated Leg Press,9,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-05,Horizontal Seated Leg Press,NA,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-06,Horizontal Seated Leg Press,0,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-07,Horizontal Seated Leg Press,8,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-08,Horizontal Seated Leg Press,3,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-09,Horizontal Seated Leg Press,9,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-10,Horizontal Seated Leg Press,10,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-11,Horizontal Seated Leg Press,12,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-12,Horizontal Seated Leg Press,15,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-13,Horizontal Seated Leg Press,11,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-14,Horizontal Seated Leg Press,16,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-15,Horizontal Seated Leg Press,2,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-16,Horizontal Seated Leg Press,NA,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-17,Horizontal Seated Leg Press,1,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-18,Horizontal Seated Leg Press,6,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-19,Horizontal Seated Leg Press,19,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-20,Horizontal Seated Leg Press,20,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-21,Horizontal Seated Leg Press,NA,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-22,Horizontal Seated Leg Press,17,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-23,Horizontal Seated Leg Press,6,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-24,Horizontal Seated Leg Press,18,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-25,Horizontal Seated Leg Press,NA,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-26,Horizontal Seated Leg Press,1,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-27,Horizontal Seated Leg Press,13,2018
7,Ruben Loftus-Cheek,1996-01-23,22,2018-03-28,Horizontal Seated Leg Press,17,2018
8,Eric Dier,1994-01-15,24,2018-03-01,Horizontal Seated Leg Press,19,2018
8,Eric Dier,1994-01-15,24,2018-03-02,Horizontal Seated Leg Press,8,2018
8,Eric Dier,1994-01-15,24,2018-03-03,Horizontal Seated Leg Press,9,2018
8,Eric Dier,1994-01-15,24,2018-03-04,Horizontal Seated Leg Press,7,2018
8,Eric Dier,1994-01-15,24,2018-03-05,Horizontal Seated Leg Press,15,2018
8,Eric Dier,1994-01-15,24,2018-03-06,Horizontal Seated Leg Press,15,2018
8,Eric Dier,1994-01-15,24,2018-03-07,Horizontal Seated Leg Press,12,2018
8,Eric Dier,1994-01-15,24,2018-03-08,Horizontal Seated Leg Press,10,2018
8,Eric Dier,1994-01-15,24,2018-03-09,Horizontal Seated Leg Press,20,2018
8,Eric Dier,1994-01-15,24,2018-03-10,Horizontal Seated Leg Press,3,2018
8,Eric Dier,1994-01-15,24,2018-03-11,Horizontal Seated Leg Press,8,2018
8,Eric Dier,1994-01-15,24,2018-03-12,Horizontal Seated Leg Press,1,2018
8,Eric Dier,1994-01-15,24,2018-03-13,Horizontal Seated Leg Press,8,2018
8,Eric Dier,1994-01-15,24,2018-03-14,Horizontal Seated Leg Press,11,2018
8,Eric Dier,1994-01-15,24,2018-03-15,Horizontal Seated Leg Press,17,2018
8,Eric Dier,1994-01-15,24,2018-03-16,Horizontal Seated Leg Press,9,2018
8,Eric Dier,1994-01-15,24,2018-03-17,Horizontal Seated Leg Press,12,2018
8,Eric Dier,1994-01-15,24,2018-03-18,Horizontal Seated Leg Press,1,2018
8,Eric Dier,1994-01-15,24,2018-03-19,Horizontal Seated Leg Press,NA,2018
8,Eric Dier,1994-01-15,24,2018-03-20,Horizontal Seated Leg Press,13,2018
8,Eric Dier,1994-01-15,24,2018-03-21,Horizontal Seated Leg Press,NA,2018
8,Eric Dier,1994-01-15,24,2018-03-22,Horizontal Seated Leg Press,1,2018
8,Eric Dier,1994-01-15,24,2018-03-23,Horizontal Seated Leg Press,10,2018
8,Eric Dier,1994-01-15,24,2018-03-24,Horizontal Seated Leg Press,11,2018
8,Eric Dier,1994-01-15,24,2018-03-25,Horizontal Seated Leg Press,7,2018
8,Eric Dier,1994-01-15,24,2018-03-26,Horizontal Seated Leg Press,13,2018
8,Eric Dier,1994-01-15,24,2018-03-27,Horizontal Seated Leg Press,NA,2018
8,Eric Dier,1994-01-15,24,2018-03-28,Horizontal Seated Leg Press,NA,2018
9,Danny Welbeck,1990-11-26,27,2018-03-01,Horizontal Seated Leg Press,17,2018
9,Danny Welbeck,1990-11-26,27,2018-03-02,Horizontal Seated Leg Press,11,2018
9,Danny Welbeck,1990-11-26,27,2018-03-03,Horizontal Seated Leg Press,17,2018
9,Danny Welbeck,1990-11-26,27,2018-03-04,Horizontal Seated Leg Press,13,2018
9,Danny Welbeck,1990-11-26,27,2018-03-05,Horizontal Seated Leg Press,11,2018
9,Danny Welbeck,1990-11-26,27,2018-03-06,Horizontal Seated Leg Press,7,2018
9,Danny Welbeck,1990-11-26,27,2018-03-07,Horizontal Seated Leg Press,NA,2018
9,Danny Welbeck,1990-11-26,27,2018-03-08,Horizontal Seated Leg Press,3,2018
9,Danny Welbeck,1990-11-26,27,2018-03-09,Horizontal Seated Leg Press,8,2018
9,Danny Welbeck,1990-11-26,27,2018-03-10,Horizontal Seated Leg Press,NA,2018
9,Danny Welbeck,1990-11-26,27,2018-03-11,Horizontal Seated Leg Press,17,2018
9,Danny Welbeck,1990-11-26,27,2018-03-12,Horizontal Seated Leg Press,8,2018
9,Danny Welbeck,1990-11-26,27,2018-03-13,Horizontal Seated Leg Press,20,2018
9,Danny Welbeck,1990-11-26,27,2018-03-14,Horizontal Seated Leg Press,6,2018
9,Danny Welbeck,1990-11-26,27,2018-03-15,Horizontal Seated Leg Press,11,2018
9,Danny Welbeck,1990-11-26,27,2018-03-16,Horizontal Seated Leg Press,0,2018
9,Danny Welbeck,1990-11-26,27,2018-03-17,Horizontal Seated Leg Press,7,2018
9,Danny Welbeck,1990-11-26,27,2018-03-18,Horizontal Seated Leg Press,4,2018
9,Danny Welbeck,1990-11-26,27,2018-03-19,Horizontal Seated Leg Press,1,2018
9,Danny Welbeck,1990-11-26,27,2018-03-20,Horizontal Seated Leg Press,17,2018
9,Danny Welbeck,1990-11-26,27,2018-03-21,Horizontal Seated Leg Press,15,2018
9,Danny Welbeck,1990-11-26,27,2018-03-22,Horizontal Seated Leg Press,12,2018
9,Danny Welbeck,1990-11-26,27,2018-03-23,Horizontal Seated Leg Press,0,2018
9,Danny Welbeck,1990-11-26,27,2018-03-24,Horizontal Seated Leg Press,4,2018
9,Danny Welbeck,1990-11-26,27,2018-03-25,Horizontal Seated Leg Press,NA,2018
9,Danny Welbeck,1990-11-26,27,2018-03-26,Horizontal Seated Leg Press,18,2018
9,Danny Welbeck,1990-11-26,27,2018-03-27,Horizontal Seated Leg Press,NA,2018
9,Danny Welbeck,1990-11-26,27,2018-03-28,Horizontal Seated Leg Press,NA,2018
10,Marcus Rashford,1997-10-31,21,2018-03-01,Horizontal Seated Leg Press,NA,2018
10,Marcus Rashford,1997-10-31,21,2018-03-02,Horizontal Seated Leg Press,8,2018
10,Marcus Rashford,1997-10-31,21,2018-03-03,Horizontal Seated Leg Press,NA,2018
10,Marcus Rashford,1997-10-31,21,2018-03-04,Horizontal Seated Leg Press,NA,2018
10,Marcus Rashford,1997-10-31,21,2018-03-05,Horizontal Seated Leg Press,5,2018
10,Marcus Rashford,1997-10-31,21,2018-03-06,Horizontal Seated Leg Press,2,2018
10,Marcus Rashford,1997-10-31,21,2018-03-07,Horizontal Seated Leg Press,0,2018
10,Marcus Rashford,1997-10-31,21,2018-03-08,Horizontal Seated Leg Press,1,2018
10,Marcus Rashford,1997-10-31,21,2018-03-09,Horizontal Seated Leg Press,19,2018
10,Marcus Rashford,1997-10-31,21,2018-03-10,Horizontal Seated Leg Press,13,2018
10,Marcus Rashford,1997-10-31,21,2018-03-11,Horizontal Seated Leg Press,0,2018
10,Marcus Rashford,1997-10-31,21,2018-03-12,Horizontal Seated Leg Press,11,2018
10,Marcus Rashford,1997-10-31,21,2018-03-13,Horizontal Seated Leg Press,18,2018
10,Marcus Rashford,1997-10-31,21,2018-03-14,Horizontal Seated Leg Press,20,2018
10,Marcus Rashford,1997-10-31,21,2018-03-15,Horizontal Seated Leg Press,4,2018
10,Marcus Rashford,1997-10-31,21,2018-03-16,Horizontal Seated Leg Press,4,2018
10,Marcus Rashford,1997-10-31,21,2018-03-17,Horizontal Seated Leg Press,10,2018
10,Marcus Rashford,1997-10-31,21,2018-03-18,Horizontal Seated Leg Press,NA,2018
10,Marcus Rashford,1997-10-31,21,2018-03-19,Horizontal Seated Leg Press,NA,2018
10,Marcus Rashford,1997-10-31,21,2018-03-20,Horizontal Seated Leg Press,14,2018
10,Marcus Rashford,1997-10-31,21,2018-03-21,Horizontal Seated Leg Press,4,2018
10,Marcus Rashford,1997-10-31,21,2018-03-22,Horizontal Seated Leg Press,1,2018
10,Marcus Rashford,1997-10-31,21,2018-03-23,Horizontal Seated Leg Press,1,2018
10,Marcus Rashford,1997-10-31,21,2018-03-24,Horizontal Seated Leg Press,19,2018
10,Marcus Rashford,1997-10-31,21,2018-03-25,Horizontal Seated Leg Press,0,2018
10,Marcus Rashford,1997-10-31,21,2018-03-26,Horizontal Seated Leg Press,7,2018
10,Marcus Rashford,1997-10-31,21,2018-03-27,Horizontal Seated Leg Press,15,2018
10,Marcus Rashford,1997-10-31,21,2018-03-28,Horizontal Seated Leg Press,NA,2018
11,Fabian Delph,1989-11-21,28,2018-03-01,Horizontal Seated Leg Press,12,2018
11,Fabian Delph,1989-11-21,28,2018-03-02,Horizontal Seated Leg Press,19,2018
11,Fabian Delph,1989-11-21,28,2018-03-03,Horizontal Seated Leg Press,NA,2018
11,Fabian Delph,1989-11-21,28,2018-03-04,Horizontal Seated Leg Press,NA,2018
11,Fabian Delph,1989-11-21,28,2018-03-05,Horizontal Seated Leg Press,NA,2018
11,Fabian Delph,1989-11-21,28,2018-03-06,Horizontal Seated Leg Press,2,2018
11,Fabian Delph,1989-11-21,28,2018-03-07,Horizontal Seated Leg Press,11,2018
11,Fabian Delph,1989-11-21,28,2018-03-08,Horizontal Seated Leg Press,NA,2018
11,Fabian Delph,1989-11-21,28,2018-03-09,Horizontal Seated Leg Press,17,2018
11,Fabian Delph,1989-11-21,28,2018-03-10,Horizontal Seated Leg Press,12,2018
11,Fabian Delph,1989-11-21,28,2018-03-11,Horizontal Seated Leg Press,12,2018
11,Fabian Delph,1989-11-21,28,2018-03-12,Horizontal Seated Leg Press,5,2018
11,Fabian Delph,1989-11-21,28,2018-03-13,Horizontal Seated Leg Press,NA,2018
11,Fabian Delph,1989-11-21,28,2018-03-14,Horizontal Seated Leg Press,16,2018
11,Fabian Delph,1989-11-21,28,2018-03-15,Horizontal Seated Leg Press,12,2018
11,Fabian Delph,1989-11-21,28,2018-03-16,Horizontal Seated Leg Press,10,2018
11,Fabian Delph,1989-11-21,28,2018-03-17,Horizontal Seated Leg Press,13,2018
11,Fabian Delph,1989-11-21,28,2018-03-18,Horizontal Seated Leg Press,16,2018
11,Fabian Delph,1989-11-21,28,2018-03-19,Horizontal Seated Leg Press,8,2018
11,Fabian Delph,1989-11-21,28,2018-03-20,Horizontal Seated Leg Press,14,2018
11,Fabian Delph,1989-11-21,28,2018-03-21,Horizontal Seated Leg Press,2,2018
